2019-12-12, 22:09:03, 98000000, 100500000, 78125.00, 5120, 2.43, 2.12, 1.57, 1.86, 2.77, 6.43, 2.77, 4.79, 5.02, 2.83, 3.22, 3.23, 3.57, 4.41, 3.87, 2.61, 5.49, 5.49, 3.52, 5.50, 15.36, 13.06, 4.95, 3.26, 4.77, 3.89, 3.62, 3.56, 5.10, 14.13, 12.23, 4.41, 4.41
2019-12-12, 22:09:03, 100500000, 103000000, 78125.00, 5120, 4.75, 5.19, 5.04, 4.07, 3.93, 5.74, 5.73, 5.29, 5.75, 6.96, 13.15, 9.54, 6.09, 5.75, 6.58, 5.79, 3.86, 3.86, 4.05, 4.58, 4.38, 3.95, 4.93, 5.55, 6.83, 6.29, 5.78, 8.49, 20.16, 11.88, 7.38, 5.59, 5.59
2019-12-12, 22:09:03, 103000000, 105500000, 78125.00, 5120, -1.02, -2.51, -2.19, -0.18, 2.72, 2.69, 8.23, 5.52, 2.76, 0.62, 0.80, 0.61, 0.78, 1.28, 3.04, 3.22, 2.50, 2.50, 4.24, 1.86, 3.26, 2.60, 6.05, 12.38, 12.26, 4.33, 3.50, 2.38, -0.25, -0.60, 5.54, 5.01, 5.01
2019-12-12, 22:09:03, 105500000, 108000000, 78125.00, 5120, 6.33, 6.58, 5.40, 5.04, 6.24, 5.84, 5.52, 5.13, 7.58, 9.31, 7.59, 5.94, 10.49, 12.20, 7.25, 5.31, 6.23, 6.23, 6.07, 6.19, 11.51, 13.17, 7.59, 5.88, 6.34, 6.52, 6.78, 6.56, 9.29, 18.42, 13.45, 7.58, 7.58
2019-12-12, 22:09:13, 88000000, 90500000, 78125.00, 4864, 8.25, 9.29, 6.73, 7.19, 7.38, 8.49, 7.65, 8.47, 7.30, 6.51, 7.72, 9.11, 10.92, 11.73, 21.40, 13.39, 7.48, 7.48, 9.45, 7.84, 10.57, 9.08, 10.03, 9.44, 6.89, 6.26, 6.38, 8.04, 7.23, 8.45, 8.64, 10.56, 10.56
2019-12-12, 22:09:13, 90500000, 93000000, 78125.00, 4864, 3.62, -0.50, 4.79, 5.79, 1.74, 5.68, 4.68, 1.64, 3.13, 2.51, -0.31, 1.11, 2.90, 0.32, -0.67, -0.91, -0.01, -0.01, 0.13, 5.01, 3.90, 0.47, -1.19, 1.54, 1.34, 1.98, 6.89, 8.06, 2.04, 0.19, -1.98, -1.46, -1.46
2019-12-12, 22:09:13, 93000000, 95500000, 78125.00, 4864, 8.61, 10.68, 10.63, 10.88, 10.86, 9.41, 6.22, 6.57, 9.27, 9.66, 7.70, 7.84, 7.48, 6.50, 6.25, 6.31, 7.71, 7.71, 10.00, 9.89, 9.36, 8.18, 6.87, 8.23, 10.26, 17.57, 19.09, 13.05, 12.03, 10.59, 8.55, 8.17, 8.17
2019-12-12, 22:09:13, 95500000, 98000000, 78125.00, 4864, -1.94, 2.48, 2.12, -2.62, -6.60, -6.09, -2.48, 0.50, 1.23, 0.90, -2.93, -5.45, -6.05, -4.59, -2.99, -2.31, -3.59, -3.59, -4.76, -4.82, -4.69, -4.48, -3.65, -2.87, -1.35, -1.95, -3.08, -2.61, -5.01, -4.94, -5.69, -6.43, -6.43
2019-12-12, 22:09:13, 98000000, 100500000, 78125.00, 4864, 2.17, 1.76, 1.39, 1.57, 2.60, 6.66, 2.83, 4.24, 4.68, 2.80, 2.76, 3.16, 3.71, 4.19, 4.06, 2.67, 5.56, 5.56, 3.63, 5.78, 14.94, 13.44, 5.38, 3.33, 4.82, 3.84, 3.24, 3.33, 4.91, 13.78, 12.67, 4.33, 4.33
2019-12-12, 22:09:13, 100500000, 103000000, 78125.00, 4864, 4.79, 5.11, 5.11, 3.96, 4.00, 5.71, 5.81, 5.29, 5.81, 6.68, 13.32, 10.09, 6.16, 5.77, 6.40, 5.87, 3.88, 3.88, 4.10, 4.63, 4.36, 3.96, 4.88, 5.52, 6.89, 6.24, 5.76, 8.45, 19.97, 12.30, 7.34, 5.53, 5.53
