# '#' in 1st column is for commenting lines
# index 0..255 form color transition for spectrum/waterfall
# missing index entries get interpolated: very few entries are sufficient
# entries (index >= 256) are colors for special elements
# index, red, green, blue
112,  136, 171,  45, 
113,  144, 165,  44, 
114,  152, 159,  42, 
115,  160, 153,  40, 
116,  169, 145,  37, 
117,  177, 137,  34, 
118,  185, 129,  31, 
119,  193, 120,  28, 
120,  200, 111,  25, 
121,  208, 101,  22, 
122,  215,  93,  18, 
123,  221,  85,  15, 
124,  226,  77,  12, 
125,  230,  71,  10, 
126,  233,  65,   8, 
127,  237,  62,   6, 
128,  238,  58,   5, 
129,  240,  56,   4, 
130,  241,  55,   3, 
131,  243,  54,   3, 
132,  244,  53,   4, 
133,  244,  53,   4, 
134,  244,  53,   3, 
135,  244,  53,   2, 
136,  245,  53,   2, 
137,  245,  53,   2, 
138,  245,  53,   2, 
139,  245,  53,   2, 
140,  246,  54,   3, 
141,  246,  54,   3, 
142,  246,  54,   3, 
143,  246,  54,   3, 
144,  246,  54,   3, 
145,  246,  54,   3, 
146,  246,  54,   3, 
147,  246,  54,   3, 
148,  246,  54,   3, 
149,  246,  54,   3, 
150,  246,  53,   3, 
151,  247,  53,   3, 
152,  247,  52,   3, 
153,  247,  52,   3, 
154,  247,  52,   3, 
155,  247,  52,   3, 
156,  247,  52,   2, 
157,  247,  52,   2, 
158,  247,  53,   2, 
159,  247,  53,   3, 
160,  248,  53,   4, 
161,  247,  53,   3, 
162,  246,  53,   3, 
163,  246,  54,   3, 
164,  246,  55,   4, 
165,  246,  57,   4, 
166,  246,  59,   5, 
167,  246,  63,   7, 
168,  246,  66,   9, 
169,  247,  71,  11, 
170,  246,  75,  13, 
171,  247,  80,  15, 
172,  248,  85,  18, 
173,  248,  90,  20, 
174,  249,  95,  23, 
175,  249, 101,  26, 
176,  249, 105,  28, 
177,  250, 110,  30, 
178,  250, 114,  31, 
179,  250, 119,  33, 
180,  250, 122,  35, 
181,  251, 125,  36, 
182,  251, 128,  37, 
183,  252, 130,  39, 
184,  252, 133,  40, 
185,  252, 135,  41, 
186,  252, 136,  41, 
187,  252, 138,  41, 
188,  252, 139,  42, 
189,  252, 141,  43, 
190,  252, 142,  43, 
191,  252, 143,  42, 
192,  252, 144,  42, 
193,  252, 146,  43, 
194,  251, 147,  43, 
195,  251, 148,  43, 
196,  251, 150,  43, 
197,  250, 151,  42, 
198,  251, 153,  42, 
199,  250, 154,  42, 
200,  250, 156,  41, 
201,  250, 158,  41, 
202,  251, 160,  41, 
203,  251, 163,  41, 
204,  252, 166,  41, 
205,  252, 168,  39, 
206,  251, 170,  38, 
207,  251, 173,  37, 
208,  251, 176,  36, 
209,  251, 179,  34, 
210,  251, 182,  33, 
211,  250, 185,  32, 
212,  250, 188,  32, 
213,  250, 191,  33, 
214,  251, 194,  34, 
215,  251, 197,  35, 
216,  251, 200,  37, 
217,  251, 203,  40, 
218,  252, 206,  43, 
219,  252, 209,  48, 
220,  252, 211,  52, 
221,  252, 214,  58, 
222,  252, 216,  64, 
223,  252, 219,  70, 
224,  253, 220,  76, 
225,  253, 222,  82, 
226,  253, 224,  88, 
227,  253, 225,  93, 
228,  252, 227,  99, 
229,  252, 228, 105, 
230,  252, 229, 111, 
231,  252, 230, 116, 
232,  252, 231, 121, 
233,  253, 232, 127, 
234,  253, 233, 133, 
235,  253, 234, 138, 
236,  252, 236, 144, 
237,  252, 237, 149, 
238,  252, 237, 154, 
239,  251, 238, 159, 
240,  251, 238, 164, 
241,  250, 239, 169, 
242,  251, 240, 174, 
243,  251, 241, 180, 
244,  251, 242, 185, 
245,  251, 243, 190, 
246,  251, 244, 195, 
247,  251, 245, 200, 
248,  250, 245, 205, 
249,  250, 246, 209, 
250,  250, 246, 213, 
